id;Name of the show;Release Date;No of seasons available;Language;Genre;IMDb rating;Age of viewers;World Premiere
1;Pataal Lok;04/10/2022;1;Hindi;Drama;7.5;18+;false
2;Upload;2/28/2017;1;English;Sci-fi comedy;8.1;16+;false
3;The Marvelous Mrs. Maisel;10/20/2016;3;English;Drama, Comedy;8.7;16+;false
4;Four More Shots Please;05/03/2016;2;Hindi;Drama, Comedy;5.3;18+;true
5;Fleabag;11/23/2017;2;English;Comedy;8.7;18+;true
6;Made in Heaven;10/08/2016;1;Hindi;Drama;8.3;18+;false
7;Homecoming;07/05/2019;2;English;Drama;7.5;16+;true
8;Mirzapur;6/18/2022;1;Hindi;Drama;8.5;18+;false
9;The Family Man;08/11/2016;1;Hindi;Drama, Action;8.6;18+;false
10;Modern Love;11/07/2018;1;English;Drama, Romance, Comedy;8;16+;true
11;Comicstaan;8/14/2017;2;Hindi;Arts, Entertainment, Culture;;18+;true
12;Inside Edge;1/16/2020;2;Hindi;Sports, Drama;8;18+;true
13;The Boys;7/13/2018;2;English;Action, Comedy;8.7;18+;false
14;Hanna;8/14/2022;2;English;Drama, Action;7.5;16+;false
15;Hunters;01/02/2022;1;English;Drama, Action, Suspense;7.2;18+;false
16;Good Omens;02/06/2016;1;English;Fantasy, Comedy;;16+;false
17;Breathe;12/31/2021;1;Hindi;Drama, Suspense;8.4;16+;false
18;The Forgotten Army- Azaadi ke Liye;4/25/2019;1;Hindi;Drama, Action;8;18+;true
19;Tom Clancy's Jack Ryan;09/07/2018;2;English;Drama, Action, Suspense;8.1;16+;false
20;Tales from the Loop;07/02/2016;1;English;Sci-fi ;7.5;18+;true
21;The Test: A New Era for Australia's Team;05/08/2016;1;English;Documentary;9;16+;true
22;The Man in the High Castle;11/20/2022;4;English;Drama, Suspense;8;18+;true
23;One Mic Stand;11/02/2017;1;Hindi;Comedy;6.5;16+;true
24;Undone;7/13/2016;1;English;Animation, Drama;8.2;16+;true
25;American Gods;05/04/2019;2;English;Sci-fi, Drama, Suspense;7.8;18+;false
26;The Tick;1/30/2016;2;English;Comedy, Action;7.4;16+;false
27;Jestination Unknown;1/31/2020;1;Hindi;Comedy, Arts, Entertainment, Culture;6.2;16+;false
28;Man with a Plan;03/07/2019;4;English;Drama;;All;true
29;Suits;10/31/2017;8;English;Drama;8.5;16+;false
30;Doctor Who;12/13/2016;13;English;Sci-fi;;All;true
31;Grey's Anatomy;12/15/2018;15;English;Drama;7.6;16+;true
32;The Mentalist;12/06/2022;7;English;Drama;8.1;16+;false
33;Afsos;01/12/2020;1;Hindi;Drama, Comedy;;16+;false
34;Laakhon Mein Ek;3/26/2017;2;Hindi;Drama;;16+;true
35;House;4/17/2022;8;English;Drama;;16+;false
36;The Good Doctor;3/15/2022;3;English;Drama;;16+;true
37;The Vampire Diaries;1/19/2016;8;English;Drama, Horror, Romance, Suspense;7.7;16+;false
38;Hostel Daze;1/26/2020;1;Hindi;Drama, Comedy;8.7;16+;true
39;Mr. Robot;9/30/2022;3;English;Drama, Suspense;8.5;18+;true
40;Supernatural;10/13/2017;15;English;Drama, Suspense, Horror;8.4;16+;false
41;Dexter;08/02/2017;8;English;Drama;8.6;18+;false
42;The Magicians;08/02/2017;2;English;Drama, Suspense, Fantasy;;16+;true
43;Blindspot;07/11/2016;5;English;Drama;7.4;16+;false
44;The Good Wife;8/22/2016;7;English;Drama;8.3;16+;false
45;The Girlfriend Experience;09/02/2022;3;English;Drama;7.1;18+;false
46;Chacha Vidhayak Hain Humare;02/10/2017;1;Hindi;Drama, Comedy;;16+;true
47;Scorpion;1/22/2016;4;English;Drama;;13+;false
48;Shameless;12/17/2018;10;English;Comedy, Drama;8.6;18+;true
49;Reign;4/26/2022;4;English;Drama;;16+;false
50;Downtown Abbey;11/23/2021;6;English;Drama;8.7;7+;false
51;McMafia;3/24/2019;1;English;Drama;;13+;true
52;This is Us;4/13/2022;3;English;Drama;8.7;16+;false
53;Malgudi Days Swami & Friends 1;2/24/2020;4;Hindi;Drama;;7+;true
54;Nikita;2/27/2021;4;English;Drama, Action;;18+;true
55;Carnival Row;08/01/2022;1;English;Drama, Fantasy;7.9;16+;true
56;Legacies;05/07/2020;2;English;Drama;;16+;true
57;Bates Motel;05/12/2019;5;English;Drama, Horror, Suspense;;16+;true
58;The Exorcist;12/15/2022;2;English;Drama;8.1;16+;true
59;The Night Manager;06/01/2018;1;English;Drama, Suspense;8.1;18+;true
60;The Originals;8/24/2022;5;English;Drama, Horror, Fantasy;8.2;16+;false
61;The Purge;06/07/2021;2;English;Drama, Horror, Suspense;;18+;false
62;Deception;5/21/2019;1;English;Drama;;13+;false
63;The Last Ship;12/08/2016;5;English;Drama, Suspense, Action;7.5;16+;true
64;Treadstone;06/05/2018;1;English;Drama;7;16+;true
65;The Terror;11/04/2017;2;English;Drama, Suspense, Adventure;;16+;true
66;Manifest;05/03/2017;2;English;Drama;;16+;false
67;Pushpavalli;12/27/2019;2;Hindi;Drama, Comedy;;16+;true
68;Fringe;6/24/2017;5;English;Sci-fi;8.4;16+;true
69;Person of Interest;06/10/2020;5;English;Drama, Action, Suspense;8.4;16+;true
70;The Affair;12/07/2019;5;English;Drama;;18+;false
71;The American Playboy: The Hugh Hefner Story;01/04/2017;1;English;Drama, Documentary;;18+;true
72;The Widow;7/30/2016;1;English;Drama, Suspense;6.9;16+;true
73;God Friended Me;02/01/2021;2;English;Drama, Comedy;;All;false
74;Star Trek: Picard;8/29/2016;1;English;Sci-fi;7.6;18+;false
75;Fear the Walking Dead;7/13/2019;5;English;Drama, Horror;6.9;16+;false
76;Taken;01/11/2018;2;English;Drama, Action;;16+;false
77;Bosch;1/16/2017;6;English;Drama;8.4;18+;true
78;Elementary;12/19/2017;7;English;Drama, Suspense;7.9;16+;true
79;Beauty and the Beast;7/24/2016;4;English;Drama, Sci-fi;7.1;16+;true
80;NCIS;7/19/2016;17;English;Drama, Action;7.8;16+;false
81;Masters of Sex;10/25/2020;4;English;Fantasy;;16+;false
82;Into the Badlands;04/02/2018;3;English;Drama, Action, Sci-fi;8;16+;true
83;Vella Raja;08/07/2016;1;Hindi;Action;;16+;false
84;Bang Baaja Baaraat;8/19/2016;1;Hindi;Drama;8;18+;false
85;Covert Affairs;04/09/2018;5;English;Drama, Action;;13+;false
86;The Handmaid's Tale;04/05/2020;3;English;Drama;8.5;18+;false
87;Gangstars;8/23/2016;1;Telugu;Drama, Suspense;;13+;false
88;Madam Secretary;9/29/2022;5;English;Drama;;13+;false
89;Marvel's Runaways;05/07/2016;3;English;Drama, Sci-fi;;16+;false
90;One Tree Hill;10/28/2021;9;English;Drama;;13+;true
91;Absentia;07/02/2016;2;English;Drama, Suspense;7.3;16+;true
92;Grimm;3/27/2022;6;English;Drama, Action, Adventure;;16+;false
93;Heroes;1/25/2018;4;English;Drama, Sci-fi;;16+;false
94;Startup;1/21/2021;3;English;Drama;8;18+;false
95;Extant;11/04/2019;2;English;Drama;6.6;16+;false
96;Goliath;10/01/2021;3;English;Drama;8.2;18+;false
97;Station 19;5/20/2017;3;English;Drama;;16+;true
98;Diablo Guardian;11/11/2021;2;English;Drama;6;18+;false
99;Lethal Weapon;6/16/2021;3;English;Drama, Action;7.9;16+;false
100;Chernobyl: Aftermath;08/10/2017;1;English;Drama;;13+;false
101;Blue Bloods;10/17/2021;10;English;Drama;7.6;16+;true
102;Patriot;11/30/2018;2;English;Drama, Suspense;8.3;18+;false
103;Rizzoli and Isles;03/03/2021;7;English;Drama, Action;7.6;16+;true
104;Luther;08/10/2018;5;English;Drama;;18+;true
105;Dispatches from Elsewhere;1/19/2022;1;English;Drama, Suspense;;16+;false
106;Mad Men;10/04/2022;7;English;Drama;8.6;16+;false
107;The Looming Tower;4/24/2016;1;English;Drama, Suspense;;18+;false
108;Siyaasat;12/29/2021;1;Hindi;Drama;;13+;false
109;Mafia Undercover;11/15/2022;2;Italiano;Drama;;16+;false
110;The Baker and The Beauty;10/13/2019;2;Hebrew;Drama, Romance;;13+;true
111;Roswell, New Mexico;4/30/2022;2;English;Drama;;All;false
112;Pretty Little Liars: The Perfectionists;08/05/2022;1;English;Drama;;13+;false
113;Major Crimes;09/02/2022;6;English;Drama;7.7;16+;false
114;Happy Marriage!?;1/29/2019;1;Japanese;Drama, Romance;;13+;false
115;The Crossing;4/30/2016;1;English;Drama, Sci-fi;;All;true
116;Famous in Love;11/24/2017;2;English;Drama, Romance;6.9;All;true
117;Rush;06/11/2020;4;English;Drama;;18+;true
118;Whiskey Cavalier;9/16/2020;1;English;Drama, Comedy, Action;;13+;false
119;Hawaii Five-O;03/09/2020;10;English;Drama, Action;7.3;16+;true
120;Penny Dreadful;3/22/2017;3;English;Drama, Horror;8.2;All;false
121;You are Wanted;06/01/2021;3;English;Drama;;13+;true
122;H.G. Wells: The Invisible Man;8/16/2021;2;English;Drama, Sci-fi, Suspense, Action;;7+;true
123;Parenthood;06/11/2019;6;English;Drama, Comedy;;16+;true
124;Marvel's Cloak & Dagger;2/19/2022;2;English;Drama, Fantasy;;16+;true
125;Preacher;7/25/2019;4;English;Drama;8;18+;false
126;The Trial: A Murder in the Family;4/16/2018;1;English;Drama;;16+;false
127;Claws;2/17/2019;3;English;Drama;7.3;All;false
128;The Good Fight;04/11/2022;3;English;Drama;;18+;true
129;Sneaky Pete;6/28/2017;3;English;Drama;8.2;18+;false
130;Shaktimaan;1/31/2016;5;Hindi;Drama;;16+;true
131;American Woman;05/06/2022;1;English;Drama, Comedy;;All;false
132;Hap and Leonard;03/11/2019;3;English;Drama, Suspense;7.6;16+;false
133;Chicago Med;06/03/2020;4;English;Drama;;All;false
134;Murder in the First;1/20/2021;3;English;Drama;7.2;18+;true
135;House of Lies;2/22/2017;5;English;Drama, Comedy;7.4;18+;true
136;The Missing;4/27/2018;2;English;Drama;;16+;true
137;Dance Academy;5/15/2022;3;English;Drama;8.1;7+;true
138;A very English Scandal;2/22/2017;1;English;Drama;;16+;true
139;Mozart in the Jungle;01/04/2016;4;English;Drama, Comedy;8.2;18+;false
140;21 Jump Street;3/20/2017;5;English;Drama;;16+;true
141;The Romanoffs;4/16/2019;1;English;Drama;7;16+;true
142;El Presidente;4/24/2017;1;Spanish;Drama;;All;true
143;Ray Donovan;09/02/2017;6;English;Drama;8.3;All;false
144;The Neighbors;7/21/2017;2;Nederlands;Drama;;16+;true
145;Training Day;07/02/2016;1;English;Drama, Action;6;16+;false
146;Flesh and Bone;04/01/2018;1;English;Drama, LGBTQ, Arts, Entertainment, Culture;8;18+;false
147;Injustice;8/22/2018;1;English;Drama;;13+;false
148;Tokyo Girl;03/11/2017;1;Japanese;Drama, Comedy;8.1;13+;true
149;Z: The Beginning of Everything;02/03/2020;1;English;Drama;7.2;18+;false
150;Guilt;04/03/2020;1;English;Drama;6;All;false
151;Good Girls Revolt;1/19/2021;1;English;Drama;8.2;18+;false
152;Hand of God;10/03/2016;2;English;Drama;7.5;18+;true
153;The Rook;11/04/2017;1;English;Drama;;18+;false
154;Time After Time;8/22/2020;1;English;Drama, Sci-fi;6.7;16+;true
155;Life;02/10/2020;2;English;Drama;8.3;All;true
156;Hunter;01/10/2023;7;English;Drama;;16+;false
157;The Missing;10/19/2022;2;English;Drama;;16+;false
158;Fukuyadou Honpo-Kyoto Love Story;7/23/2016;1;Japanese;Drama, Romance;7.7;13+;true
159;Collision;2/14/2021;1;English;Drama;;13+;true
160;Presumed Guilty;05/05/2016;1;Italiano;Drama;;18+;false
161;Deutschland;07/06/2019;1;Deutsch;Drama;8.1;18+;true
162;Lore;11/09/2017;2;English;Horror;6.7;16+;true
163;Tokyo Alice;1/21/2017;1;Japanese;Drama;4;13+;false
164;Warrior's Way;6/24/2018;1;English;Drama;;13+;true
165;Silk Stalkings;02/09/2020;4;English;Drama;;16+;true
166;Transparent;7/26/2017;5;English;Drama, Comedy, LGBTQ;7.8;18+;false
167;The Last Tycoon;12/20/2021;1;English;Drama;7.7;18+;false
168;Too Old to Die Young;06/06/2022;1;English;Drama;;18+;true
169;4 Blocks;09/04/2017;2;English;Drama;;16+;false
170;Haunted;8/13/2021;1;French;Drama;;13+;false
171;Lodge 49;6/25/2022;1;English;Drama, Comeddy;;18+;true
172;The First;11/13/2016;1;English;Drama, Sci-fi;;18+;true
173;Black sun;3/14/2022;1;Serbian;Drama;;18+;false
174;Life Sentence;01/05/2018;1;English;Drama;;16+;false
175;Shackleton: Trapped in the South Pole;7/29/2017;1;English;Drama;;16+;false
176;Final Life;6/28/2022;1;Japanese;Drama;5.2;16+;false
177;Falling Water;01/02/2020;2;English;Drama, Sci-fi;6.5;16+;false
178;Midnight, Texas;02/05/2018;2;English;Drama;;All;false
179;The Idolm@aster.kr;06/03/2016;1;Japanese;Drama;;13+;true
180;Inside Borussia Dortmund;6/23/2017;1;English;Drama, Documentary;;All;true
181;All American;1/13/2019;2;English;Drama, Sports;;All;true
182;Almirante Hotel;04/10/2022;1;Spanish;Drama;;13+;false
183;The Collection;9/15/2022;1;English;Drama;7.1;16+;false
